Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.0975,2019:09:29:18:51:59.6,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
0.2975,2019:09:29:18:51:59.8,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
0.496666666666667,2019:09:29:18:52:00.0,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
0.6975,2019:09:29:18:52:00.2,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
0.898333333333333,2019:09:29:18:52:00.4,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
1.0975,2019:09:29:18:52:00.6,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
1.2975,2019:09:29:18:52:00.8,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
1.4975,2019:09:29:18:52:01.0,39.25798,-76.7056866666667,40.1,0,0,84.09,0.3,0,7,120,
1.69833333333333,2019:09:29:18:52:01.2,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
1.89916666666667,2019:09:29:18:52:01.4,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
2.09666666666667,2019:09:29:18:52:01.6,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
2.29583333333333,2019:09:29:18:52:01.8,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
2.49916666666667,2019:09:29:18:52:02.0,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
2.6975,2019:09:29:18:52:02.2,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
2.89916666666667,2019:09:29:18:52:02.4,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
3.09833333333333,2019:09:29:18:52:02.6,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
3.29666666666667,2019:09:29:18:52:02.8,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
3.4975,2019:09:29:18:52:03.0,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
3.6975,2019:09:29:18:52:03.2,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
3.89833333333333,2019:09:29:18:52:03.4,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
4.0975,2019:09:29:18:52:03.6,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
4.2975,2019:09:29:18:52:03.8,39.25798,-76.7056866666667,40.1,0,0,84.09,0.1,0,7,120,
4.49833333333333,2019:09:29:18:52:04.0,39.25798,-76.7056866666667,40.1,0,0,84.09,0,0,7,120,
