Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.0758333333333333,2019:09:29:20:01:34.2,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,110,
0.273333333333333,2019:09:29:20:01:34.4,39.25886,-76.7058316666667,55,0,0,277.5,0.3,0,7,110,
0.475,2019:09:29:20:01:34.6,39.25886,-76.7058316666667,55,0,0,277.5,0.7,0,7,110,
0.675,2019:09:29:20:01:34.8,39.25886,-76.7058316666667,55,0,0,277.5,1.2,0,7,110,
0.8725,2019:09:29:20:01:35.0,39.25886,-76.7058316666667,55,0,0,277.5,1.1,0,7,110,
1.075,2019:09:29:20:01:35.2,39.25886,-76.7058316666667,55,0,0,277.5,1.1,0,7,110,
1.27666666666667,2019:09:29:20:01:35.4,39.25886,-76.7058316666667,55,0,0,277.5,0.7,0,7,110,
1.47333333333333,2019:09:29:20:01:35.6,39.25886,-76.7058316666667,55,0,0,277.5,0.3,0,7,110,
1.67416666666667,2019:09:29:20:01:35.8,39.25886,-76.7058316666667,55,0,0,277.5,1.6,0,7,110,
1.87666666666667,2019:09:29:20:01:36.0,39.25886,-76.7058316666667,55,0,0,277.5,0.3,0,7,110,
2.07416666666667,2019:09:29:20:01:36.2,39.25886,-76.7058316666667,55,0,0,277.5,1.4,0,7,110,
2.2775,2019:09:29:20:01:36.4,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,110,
2.47333333333333,2019:09:29:20:01:36.6,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,110,
2.67583333333333,2019:09:29:20:01:36.8,39.25886,-76.7058316666667,55,0,0,277.5,1.2,0,7,110,
2.87666666666667,2019:09:29:20:01:37.0,39.25886,-76.7058316666667,55,0,0,277.5,1.1,0,7,110,
3.075,2019:09:29:20:01:37.2,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,110,
3.27666666666667,2019:09:29:20:01:37.4,39.2588583333333,-76.7058316666667,55,0,0,277.5,0.5,0,7,110,
3.475,2019:09:29:20:01:37.6,39.2588583333333,-76.7058316666667,55,0,0,277.5,1.1,0,7,110,
3.67416666666667,2019:09:29:20:01:37.8,39.25886,-76.7058316666667,55,0,0,277.5,0,0,7,110,
3.875,2019:09:29:20:01:38.0,39.25886,-76.7058316666667,55,0,0,277.5,0.7,0,7,120,
4.075,2019:09:29:20:01:38.2,39.25886,-76.7058316666667,55,0,0,277.5,0,0,7,120,
4.27833333333333,2019:09:29:20:01:38.4,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,120,
4.47416666666667,2019:09:29:20:01:38.6,39.25886,-76.7058316666667,55,0,0,277.5,0.2,0,7,120,
4.67416666666667,2019:09:29:20:01:38.8,39.25886,-76.7058316666667,55,0,0,277.5,0.9,0,7,120,
4.87583333333333,2019:09:29:20:01:39.0,39.25886,-76.7058316666667,55,0,0,277.5,1.7,0,7,120,
5.07583333333333,2019:09:29:20:01:39.2,39.2588616666667,-76.7058316666667,55,0,0,277.5,0.2,0,7,120,
5.27583333333333,2019:09:29:20:01:39.4,39.2588616666667,-76.7058316666667,55.1,0,0,277.5,0.4,0,7,120,
5.475,2019:09:29:20:01:39.6,39.2588616666667,-76.7058316666667,55.1,0,0,277.5,1.1,0,7,120,
5.67333333333333,2019:09:29:20:01:39.8,39.2588616666667,-76.7058316666667,55.1,0,0,277.5,1.3,0,7,120,
5.87416666666667,2019:09:29:20:01:40.0,39.2588633333333,-76.7058316666667,55.1,0,0,277.5,1.3,0,7,120,
6.07333333333333,2019:09:29:20:01:40.2,39.2588633333333,-76.7058316666667,55.1,0,0,277.5,1.3,0,7,120,
6.27833333333333,2019:09:29:20:01:40.4,39.2588633333333,-76.7058316666667,55.1,0,0,277.5,1.7,0,7,120,
6.47583333333333,2019:09:29:20:01:40.6,39.2588633333333,-76.7058316666667,55.1,0,0,277.5,1.6,0,7,120,
6.67583333333333,2019:09:29:20:01:40.8,39.2588633333333,-76.7058316666667,55.1,0,0,277.5,1.6,0,7,120,
6.87666666666667,2019:09:29:20:01:41.0,39.258865,-76.7058316666667,55.1,0,0,277.5,1.5,0,7,110,
7.07166666666667,2019:09:29:20:01:41.2,39.258865,-76.7058316666667,55.1,0,0,277.5,0.7,0,6,130,
7.27166666666667,2019:09:29:20:01:41.4,39.258865,-76.7058316666667,55.1,0,0,277.5,0.3,0,6,130,
7.47083333333333,2019:09:29:20:01:41.6,39.258865,-76.7058316666667,55.1,0,0,277.5,0.3,0,6,130,
7.67,2019:09:29:20:01:41.8,39.258865,-76.7058316666667,55.1,0,0,277.5,0.2,0,6,130,
7.8725,2019:09:29:20:01:42.0,39.258865,-76.7058316666667,55.1,0,0,277.5,0.7,0,6,130,
8.075,2019:09:29:20:01:42.2,39.258865,-76.7058316666667,55.1,0,0,277.5,1.1,0,6,130,
8.27416666666667,2019:09:29:20:01:42.4,39.258865,-76.7058316666667,55.1,0,0,277.5,1.1,0,6,130,
8.47166666666667,2019:09:29:20:01:42.6,39.258865,-76.7058316666667,55.1,0,0,277.5,0.5,0,6,130,
8.67166666666667,2019:09:29:20:01:42.8,39.258865,-76.7058316666667,55.1,0,0,277.5,0.4,0,6,130,
8.87416666666667,2019:09:29:20:01:43.0,39.258865,-76.7058316666667,55.1,0,0,277.5,0.2,0,6,130,
