Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.0358333333333333,2019:09:29:18:16:22.4,39.257645,-76.70553,48.6,0,0,351.39,1.1,0,7,130,
0.2325,2019:09:29:18:16:22.6,39.257645,-76.70553,48.6,0,0,351.39,0.7,0,7,130,
0.4325,2019:09:29:18:16:22.8,39.257645,-76.70553,48.6,0,0,351.39,0.5,0,7,130,
0.634166666666667,2019:09:29:18:16:23.0,39.257645,-76.70553,48.6,0,0,351.39,0.9,0,7,130,
0.834166666666667,2019:09:29:18:16:23.2,39.257645,-76.70553,48.6,0,0,351.39,0,0,7,130,
1.03416666666667,2019:09:29:18:16:23.4,39.257645,-76.70553,48.6,0,0,351.39,0.5,0,7,130,
1.2325,2019:09:29:18:16:23.6,39.257645,-76.70553,48.6,0,0,351.39,0.7,0,7,130,
1.4325,2019:09:29:18:16:23.8,39.257645,-76.70553,48.6,0,0,351.39,0.5,0,7,130,
1.63333333333333,2019:09:29:18:16:24.0,39.257645,-76.70553,48.6,0,0,351.39,0.2,0,7,130,
1.83416666666667,2019:09:29:18:16:24.2,39.257645,-76.70553,48.6,0,0,351.39,1.3,0,7,130,
2.035,2019:09:29:18:16:24.4,39.257645,-76.70553,48.6,0,0,351.39,0.5,0,7,130,
2.2325,2019:09:29:18:16:24.6,39.2576433333333,-76.70553,48.6,0,0,351.39,0.3,0,7,130,
2.4325,2019:09:29:18:16:24.8,39.2576433333333,-76.70553,48.6,0,0,351.39,1.5,0,7,130,
2.6325,2019:09:29:18:16:25.0,39.2576433333333,-76.70553,48.6,0,0,351.39,1.1,0,7,130,
2.8325,2019:09:29:18:16:25.2,39.2576433333333,-76.70553,48.6,0,0,351.39,1.3,0,7,130,
3.04,2019:09:29:18:16:25.4,39.2576433333333,-76.7055283333333,48.6,0,0,351.39,1.6,0,7,130,
3.24333333333333,2019:09:29:18:16:25.6,39.2576433333333,-76.7055283333333,48.6,0,0,351.39,1.6,0,8,100,
3.44583333333333,2019:09:29:18:16:25.8,39.2576433333333,-76.7055283333333,48.6,0,0,351.39,1.5,0,8,100,
3.64416666666667,2019:09:29:18:16:26.0,39.2576433333333,-76.7055283333333,48.6,0,0,351.39,1.5,0,8,100,
3.84416666666667,2019:09:29:18:16:26.2,39.2576416666667,-76.7055283333333,48.6,0,0,351.39,1.5,0,8,100,
4.04583333333333,2019:09:29:18:16:26.4,39.2576433333333,-76.7055283333333,48.6,0,0,351.39,1.1,0,8,100,
4.24333333333333,2019:09:29:18:16:26.6,39.2576416666667,-76.7055283333333,48.6,0,0,351.39,0.7,0,8,100,
4.44416666666667,2019:09:29:18:16:26.8,39.2576416666667,-76.7055283333333,48.6,0,0,351.39,0.3,0,8,100,
4.64416666666667,2019:09:29:18:16:27.0,39.2576416666667,-76.7055283333333,48.6,0,0,351.39,0.2,0,8,100,
