Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.2175,2019:09:29:18:01:57.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
0.4175,2019:09:29:18:01:58.0,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
0.616666666666667,2019:09:29:18:01:58.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
0.818333333333333,2019:09:29:18:01:58.4,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
1.0175,2019:09:29:18:01:58.6,39.257845,-76.7056233333333,51,0,0,137.39,0.7,0,8,110,
1.2175,2019:09:29:18:01:58.8,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
1.42,2019:09:29:18:01:59.0,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
1.61666666666667,2019:09:29:18:01:59.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
1.8175,2019:09:29:18:01:59.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
2.01666666666667,2019:09:29:18:01:59.6,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
2.2175,2019:09:29:18:01:59.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
2.41666666666667,2019:09:29:18:02:00.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
2.6175,2019:09:29:18:02:00.2,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
2.81583333333333,2019:09:29:18:02:00.4,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
3.01583333333333,2019:09:29:18:02:00.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
3.215,2019:09:29:18:02:00.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
3.41583333333333,2019:09:29:18:02:01.0,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
3.615,2019:09:29:18:02:01.2,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
3.815,2019:09:29:18:02:01.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
4.01583333333333,2019:09:29:18:02:01.6,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
4.215,2019:09:29:18:02:01.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
4.41833333333333,2019:09:29:18:02:02.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
4.61666666666667,2019:09:29:18:02:02.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
4.81916666666667,2019:09:29:18:02:02.4,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
5.01666666666667,2019:09:29:18:02:02.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
5.21833333333333,2019:09:29:18:02:02.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
5.41416666666667,2019:09:29:18:02:03.0,39.257845,-76.7056233333333,51,0,0,137.39,0,0,7,120,
5.61583333333333,2019:09:29:18:02:03.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,7,120,
5.81583333333333,2019:09:29:18:02:03.4,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,7,120,
6.015,2019:09:29:18:02:03.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,7,120,
6.21166666666667,2019:09:29:18:02:03.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,7,120,
6.42,2019:09:29:18:02:04.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
6.61666666666667,2019:09:29:18:02:04.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
6.8175,2019:09:29:18:02:04.4,39.257845,-76.7056233333333,51,0,0,137.39,0.3,0,8,110,
7.01666666666667,2019:09:29:18:02:04.6,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
7.21666666666667,2019:09:29:18:02:04.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
7.41666666666667,2019:09:29:18:02:05.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
7.61833333333333,2019:09:29:18:02:05.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
7.81583333333333,2019:09:29:18:02:05.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
8.0175,2019:09:29:18:02:05.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
8.21583333333333,2019:09:29:18:02:05.8,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
8.41583333333333,2019:09:29:18:02:06.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
8.61666666666667,2019:09:29:18:02:06.2,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
8.8175,2019:09:29:18:02:06.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
9.01583333333333,2019:09:29:18:02:06.6,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
9.21583333333333,2019:09:29:18:02:06.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
9.4175,2019:09:29:18:02:07.0,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
9.61666666666667,2019:09:29:18:02:07.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
9.81833333333333,2019:09:29:18:02:07.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
10.0175,2019:09:29:18:02:07.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
10.2166666666667,2019:09:29:18:02:07.8,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
10.4183333333333,2019:09:29:18:02:08.0,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
10.6183333333333,2019:09:29:18:02:08.2,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
10.8183333333333,2019:09:29:18:02:08.4,39.257845,-76.7056233333333,51,0,0,137.39,0.5,0,8,110,
11.0175,2019:09:29:18:02:08.6,39.257845,-76.7056233333333,51,0,0,137.39,0.1,0,8,110,
11.2175,2019:09:29:18:02:08.8,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
11.4166666666667,2019:09:29:18:02:09.0,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
11.6166666666667,2019:09:29:18:02:09.2,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
11.8158333333333,2019:09:29:18:02:09.4,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
12.0158333333333,2019:09:29:18:02:09.6,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
12.2158333333333,2019:09:29:18:02:09.8,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
12.4183333333333,2019:09:29:18:02:10.0,39.257845,-76.7056233333333,51,0,0,137.39,0,0,8,110,
