Scan Time,UTC Time,Latitude (deg),Longitude (deg),Altitude (m),Easting (m),Northing (m),COG (deg),SOG (km/h),Dead Reckoning,Num SVs,HDOP,
0.200833333333333,2019:09:29:17:13:17.6,39.25792,-76.7056366666667,56.9,0,0,0,1.2,0,6,160,
0.4025,2019:09:29:17:13:17.8,39.2579183333333,-76.7056383333333,56.7,0,0,0,0.3,0,6,160,
0.6025,2019:09:29:17:13:18.0,39.2579183333333,-76.70564,56.5,0,0,0,1.4,0,6,160,
0.804166666666667,2019:09:29:17:13:18.2,39.2579183333333,-76.7056416666667,56.3,0,0,0,1.1,0,6,160,
1.0025,2019:09:29:17:13:18.4,39.2579183333333,-76.7056416666667,56.4,0,0,0,0.2,0,6,160,
1.20166666666667,2019:09:29:17:13:18.6,39.2579183333333,-76.7056383333333,56.7,0,0,0,0.9,0,6,180,
1.4025,2019:09:29:17:13:18.8,39.2579183333333,-76.7056383333333,56.7,0,0,0,1.4,0,6,160,
1.605,2019:09:29:17:13:19.0,39.2579183333333,-76.70564,56.7,0,0,0,0,0,6,160,
1.8025,2019:09:29:17:13:19.2,39.2579183333333,-76.70564,56.7,0,0,0,0,0,6,160,
2.0025,2019:09:29:17:13:19.4,39.2579183333333,-76.7056416666667,56.6,0,0,0,0.7,0,6,160,
2.20333333333333,2019:09:29:17:13:19.6,39.2579183333333,-76.7056433333333,56.5,0,0,0,0.3,0,6,160,
2.4025,2019:09:29:17:13:19.8,39.2579166666667,-76.7056466666667,56.3,0,0,0,0.5,0,6,160,
2.60583333333333,2019:09:29:17:13:20.0,39.257915,-76.7056516666667,56,0,0,0,1.1,0,6,160,
2.8025,2019:09:29:17:13:20.2,39.257915,-76.7056533333333,55.9,0,0,0,0.7,0,6,160,
3.0025,2019:09:29:17:13:20.4,39.257915,-76.7056533333333,55.9,0,0,0,0.5,0,6,160,
3.20416666666667,2019:09:29:17:13:20.6,39.257915,-76.7056533333333,55.9,0,0,0,0.5,0,6,160,
3.4025,2019:09:29:17:13:20.8,39.257915,-76.7056533333333,55.9,0,0,0,0.5,0,6,160,
3.60333333333333,2019:09:29:17:13:21.0,39.2579166666667,-76.7056516666667,56,0,0,0,0.4,0,6,160,
3.79833333333333,2019:09:29:17:13:21.2,39.2579166666667,-76.70565,56.2,0,0,0,1.6,0,5,180,
3.99916666666667,2019:09:29:17:13:21.4,39.2579183333333,-76.7056483333333,56.3,0,0,0,0.7,0,5,200,
4.19916666666667,2019:09:29:17:13:21.6,39.25792,-76.705645,56.6,0,0,0,0.2,0,5,190,
4.39916666666667,2019:09:29:17:13:21.8,39.2579216666667,-76.7056433333333,56.6,0,0,0,1.1,0,5,200,
4.6025,2019:09:29:17:13:22.0,39.2579233333333,-76.7056416666667,56.7,0,0,0,0.2,0,6,160,
4.8025,2019:09:29:17:13:22.2,39.257925,-76.7056366666667,57.1,0,0,0,0.7,0,6,160,
5.00416666666667,2019:09:29:17:13:22.4,39.257925,-76.7056366666667,57.1,0,0,0,1.3,0,6,160,
5.2025,2019:09:29:17:13:22.6,39.257925,-76.7056366666667,57,0,0,0,0,0,6,160,
5.4025,2019:09:29:17:13:22.8,39.257925,-76.7056383333333,56.9,0,0,0,0.7,0,6,160,
5.6025,2019:09:29:17:13:23.0,39.257925,-76.7056416666667,56.6,0,0,0,1.6,0,6,160,
